Ano;UF;Est_Pop
2013;ES;3839366
2013;SP;43663669
2013;RS;11164043
2013;GO;6434048
2014;ES;3885049
2014;SP;44035304
2014;RS;11207274
2014;GO;6523222
2015;ES;3929911
2015;SP;44396484
2015;RS;11247972
2015;GO;6610681
2016;ES;3973697
2016;SP;44749699
2016;RS;11286500
2016;GO;6695855
2017;ES;4016356
2017;SP;45094866
2017;RS;11322895
2017;GO;6778772
2018;ES;3972388
2018;SP;45538936
2018;RS;11329605
2018;GO;6921161
2019;ES;4018650
2019;SP;45919049
2019;RS;11377239
2019;GO;7018354
2020;ES;4064052
2020;SP;46289333
2020;RS;11422973
2020;GO;7113540
2021;ES;4108508
2021;SP;46649132
2021;RS;11466630
2021;GO;7.206.589
2022;ES;3833712
2022;GO;7056495
2022;RS;10882965
2022;SP;44411238
